"","PureNYHAClass","variable","mean","sd","sem","n"
"71","III","SBP",116.818181818182,20.2623699592036,6.10933441073156,11
"73","II","DBP",73.6538461538462,9.33356226825453,1.83046215912166,26
"74","III","DBP",69.5454545454545,11.0214666570619,3.32309723098972,11
"76","II","HR",109.692307692308,18.2049866372249,3.57029161953484,26
"77","III","HR",95.6363636363636,19.3611607465706,5.83760960928471,11
"79","II","HR.1min",90.28,14.6529860438069,2.93059720876138,25
"80","III","HR.1min",82.8181818181818,12.2296212682011,3.68736955225212,11
"82","II","HR.1minDrop",23.4,15.1079449297381,3.02158898594763,25
"83","III","HR.1minDrop",12.8181818181818,8.71571203996761,2.62788605612324,11
"85","II","O2Sat",98.12,1.39403491108843,0.278806982217686,25
"86","III","O2Sat",98.1818181818182,1.60113596038449,0.482760656267336,11
"88","II","Duration",9.95782051282052,2.79432900986706,0.548013005719636,26
"89","III","Duration",7.71212121212122,2.29609681983593,0.692299239429457,11
"91","II","Watts",94.4,29.022979401387,5.8045958802774,25
"92","III","Watts",73.6363636363636,23.3549683248457,7.0417879021953,11
"94","II","Watts.Predicted.Percentage",59.92,20.2852984531491,4.05705969062982,25
"95","III","Watts.Predicted.Percentage",47.1818181818182,11.7372755085512,3.53892172026293,11
"97","II","TestEnd.Reason",NA,NA,NA,0
"98","III","TestEnd.Reason",NA,NA,NA,0
"100","II","TestEnd.Symptom",NA,NA,NA,0
"101","III","TestEnd.Symptom",NA,NA,NA,0
"103","II","VO2.perBodyWeight",14.3807692307692,3.28670281355272,0.644575453141756,26
"104","III","VO2.perBodyWeight",12.3363636363636,2.98907100192442,0.901238816828635,11
"106","II","VO2.Predicted.Relative",29.2307692307692,5.63969993746258,1.10603615507422,26
"107","III","VO2.Predicted.Relative",28.8909090909091,5.59847381800693,1.68800336845068,11
"109","II","VO2.Predicted.Relative.Percentage",50.5,13.2249763704893,2.59363125307417,26
"110","III","VO2.Predicted.Relative.Percentage",42.9090909090909,8.11732154660077,2.44746453388565,11
"112","II","VO2",1.26411538461538,0.409159756273569,0.0802428300544537,26
"113","III","VO2",1.14590909090909,0.375833062554495,0.113317932027585,11
"115","II","VO2.Predicted.Absolute",2.32880769230769,0.556932456890835,0.109223440978444,26
"116","III","VO2.Predicted.Absolute",2.32881818181818,0.61441546500423,0.185253232982797,11
"118","II","VO2.Predicted.Absolute.Percentage",55.8076923076923,16.6901629249549,3.27321024766876,26
"119","III","VO2.Predicted.Absolute.Percentage",49.4545454545455,8.91474774027439,2.68789757774171,11
"121","II","VE.Peak",45.4864,13.1992092187373,2.63984184374746,25
"122","III","VE.Peak",42.4545454545455,13.6789154275011,4.12434818291137,11
"124","II","VCO2.Peak",1.40638461538462,0.465413972882042,0.0912751896009337,26
"125","III","VCO2.Peak",1.14718181818182,0.40602729420122,0.122421835409881,11
"127","II","VEperVCO2.Peak",33.3846153846154,6.4997041352783,1.27469685455245,26
"128","III","VEperVCO2.Peak",37.5454545454545,6.05580112559249,1.82589273987293,11
"130","II","VEperVCO2.atAT",32.9615384615385,4.7284734892417,0.927329945813445,26
"131","III","VEperVCO2.atAT",38.7272727272727,5.83251076451487,1.75856816287316,11
"133","II","AT",9.58076923076923,2.52254145349792,0.494711080585869,26
"134","III","AT",8.1,1.38162545173751,0.436908330074958,10
"136","II","VO2.Peak.Measured.Percentage",66.1538461538462,7.01821805128514,1.37638579977508,26
"137","III","VO2.Peak.Measured.Percentage",64.4,6.83455273672763,2.16127534365964,10
"139","II","VO2.Peak.Predicted.Percentage",33.6153846153846,9.78192996530612,1.91839429898823,26
"140","III","VO2.Peak.Predicted.Percentage",28,4.76095228569523,1.50554530541816,10
"142","II","RER.Peak",1.11615384615385,0.0823687767580373,0.0161538461538462,26
"143","III","RER.Peak",1.00290909090909,0.0826141084143072,0.0249090909090909,11
"145","II","RPEper20.Peak",16.3333333333333,0.816496580927726,0.333333333333333,6
"146","III","RPEper20.Peak",16,NA,NA,1
"148","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,4
"149","III","PETCO2.Peak",30,1.4142135623731,1,2
"151","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,3
"152","III","OUES",1.209,0.231931024229188,0.164,2
"154","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,3
"155","III","TotalRiskScore",11.5,4.94974746830583,3.5,2
"157","II","StepData.LongestActiveStreak",46.7692307692308,32.4657452615001,6.36705648506621,26
"158","III","StepData.LongestActiveStreak",37.1818181818182,32.5785763403442,9.8228103568065,11
"160","II","StepData.HighestValuedStreak",3244.61538461538,2296.16276560566,450.314567238787,26
"161","III","StepData.HighestValuedStreak",2098,2278.41910104353,686.969206667294,11
"163","II","StepData.OverallMaximum",125.538461538462,18.3198925089221,3.59282651499678,26
"164","III","StepData.OverallMaximum",112.909090909091,15.4107400565615,4.64651295539226,11
"166","II","StepData.OverallQ3",0,0,0,26
"167","III","StepData.OverallQ3",0,0,0,11
"169","II","StepData.OverallMean",3.79431994460981,1.54695845223107,0.303383512870905,26
"170","III","StepData.OverallMean",2.66310924090529,1.60354531212855,0.48348710315125,11
"172","II","StepData.OverallStdDev",13.087504512972,3.33924368433205,0.654879565655791,26
"173","III","StepData.OverallStdDev",9.98900487593237,3.95270653150261,1.19178586103466,11
"175","II","StepData.OverallMedian",0,0,0,26
"176","III","StepData.OverallMedian",0,0,0,11
"178","II","StepData.OverallMode",0,0,0,26
"179","III","StepData.OverallMode",0,0,0,11
"181","II","StepData.OverallQ1",0,0,0,26
"182","III","StepData.OverallQ1",0,0,0,11
"184","II","StepData.OverallMinimum",0,0,0,26
"185","III","StepData.OverallMinimum",0,0,0,11
"187","II","StepData.OverallTotal",85124,30413.1967777148,5964.51860924249,26
"188","III","StepData.OverallTotal",58733.3636363636,32214.3141267131,9712.9811669957,11
"190","II","StepData.Overalln",23483.0769230769,5066.9870883836,993.717924568872,26
"191","III","StepData.Overalln",23040,3088.45592489192,931.204498583323,11
"193","II","StepData.OverallStdErr",0.087331887181605,0.0256041570358388,0.00502138832133985,26
"194","III","StepData.OverallStdErr",0.0670162509604344,0.0285817334356841,0.00861771687855632,11
"196","II","StepData.OverallSkewness",5.20174508237356,1.47312700501344,0.288903974790924,26
"197","III","StepData.OverallSkewness",6.49645808130482,2.97400702012449,0.896696855421443,11
"199","II","StepData.OverallKurtosis",33.443743430822,21.6336832920519,4.24271435604073,26
"200","III","StepData.OverallKurtosis",61.4194419703875,62.113248582974,18.7278490963454,11
"202","II","StepData.MaximumDailyTotalSteps",10836.8076923077,4204.12859954812,824.497452567284,26
"203","III","StepData.MaximumDailyTotalSteps",7231.63636363636,4292.33477894554,1294.18763057777,11
"205","II","StepData.MeanDailyTotalSteps",5463.82072023812,2227.62017121275,436.872258534104,26
"206","III","StepData.MeanDailyTotalSteps",3834.87730690362,2309.10524946511,696.221428537799,11
"208","II","StepData.ModeDailyTotalSteps",3265.84615384615,3694.10767241354,724.474119498057,26
"209","III","StepData.ModeDailyTotalSteps",2286.90909090909,2141.85855996821,645.794654311407,11
"211","II","StepData.MinimumDailyTotalSteps",971,1542.04920803456,302.420730872635,26
"212","III","StepData.MinimumDailyTotalSteps",1269.90909090909,1576.47578189742,475.325332694173,11
"214","II","StepData.StdDevDailyTotalSteps",2855.57107618268,1302.82340772942,255.504691491453,26
"215","III","StepData.StdDevDailyTotalSteps",1744.73117161327,1100.68354107307,331.868574423557,11
"217","II","StepData.StdErrDailyTotalSteps",713.403047555142,313.242134638279,61.431836807694,26
"218","III","StepData.StdErrDailyTotalSteps",440.70521155374,292.684628530694,88.2477358855329,11
"220","II","StepData.MaximumDailyMaximumSteps",125.538461538462,18.3198925089221,3.59282651499678,26
"221","III","StepData.MaximumDailyMaximumSteps",112.909090909091,15.4107400565615,4.64651295539226,11
"223","II","StepData.MeanDailyMaximumSteps",95.096869767911,17.9031091204797,3.51108856766564,26
"224","III","StepData.MeanDailyMaximumSteps",80.6526477177793,23.1097264609446,6.96784469806374,11
"226","II","StepData.ModeDailyMaximumSteps",92.8461538461538,41.9701725587992,8.23102803331438,26
"227","III","StepData.ModeDailyMaximumSteps",65,42.2279528274815,12.7322068357803,11
"229","II","StepData.MinimumDailyMaximumSteps",36.8076923076923,34.6283343298741,6.79117509504781,26
"230","III","StepData.MinimumDailyMaximumSteps",40.8181818181818,30.1257968585669,9.08326951730306,11
"232","II","StepData.StdDevDailyMaximumSteps",26.2055596307268,13.2920014980026,2.60677596203923,26
"233","III","StepData.StdDevDailyMaximumSteps",21.4468839402402,10.7053078438678,3.22777176212345,11
"235","II","StepData.StdErrDailyMaximumSteps",6.42916750246241,3.08475039284909,0.604969324911559,26
"236","III","StepData.StdErrDailyMaximumSteps",5.2641770575397,2.38547236731435,0.719246980922051,11
"238","II","StepData.MaximumDailyQ3Steps",3.01923076923077,6.28725817702879,1.23303277429483,26
"239","III","StepData.MaximumDailyQ3Steps",1.09090909090909,2.58667916273145,0.779913112346444,11
"241","II","StepData.MeanDailyQ3Steps",0.49945054945055,1.00386132234935,0.196873402753861,26
"242","III","StepData.MeanDailyQ3Steps",0.0779220779220779,0.184762797337961,0.0557080794533174,11
"244","II","StepData.ModeDailyQ3Steps",0,0,0,26
"245","III","StepData.ModeDailyQ3Steps",0,0,0,11
"247","II","StepData.MinimumDailyQ3Steps",0,0,0,26
"248","III","StepData.MinimumDailyQ3Steps",0,0,0,11
"250","II","StepData.StdDevDailyQ3Steps",0.910356018454968,1.67078083238225,0.327667079509765,26
"251","III","StepData.StdDevDailyQ3Steps",0.291557718449918,0.6913190854606,0.208440546989495,11
"253","II","StepData.StdErrDailyQ3Steps",0.226600653741555,0.400986671109894,0.0786399561799985,26
"254","III","StepData.StdErrDailyQ3Steps",0.077922077922078,0.184762797337961,0.0557080794533175,11
"256","II","StepData.MaximumDailyMeanSteps",7.5255608974359,2.9195337496862,0.572567675393947,26
"257","III","StepData.MaximumDailyMeanSteps",5.02196969696969,2.98078804093439,0.898741410123446,11
"259","II","StepData.MeanDailyMeanSteps",3.79431994460981,1.54695845223107,0.303383512870905,26
"260","III","StepData.MeanDailyMeanSteps",2.66310924090529,1.60354531212855,0.48348710315125,11
"262","II","StepData.ModeDailyMeanSteps",2.26794871794872,2.56535255028718,0.503107027429206,26
"263","III","StepData.ModeDailyMeanSteps",1.58813131313131,1.4874017777557,0.448468509938477,11
"265","II","StepData.MinimumDailyMeanSteps",0.674305555555555,1.07086750557955,0.210014396439329,26
"266","III","StepData.MinimumDailyMeanSteps",0.881881313131314,1.09477484853988,0.330087036593176,11
"268","II","StepData.StdDevDailyMeanSteps",1.9830354695713,0.904738477589877,0.177433813535731,26
"269","III","StepData.StdDevDailyMeanSteps",1.21161886917589,0.764363570189637,0.230464287794137,11
"271","II","StepData.StdErrDailyMeanSteps",0.495418783024405,0.217529260165472,0.0426609977831209,26
"272","III","StepData.StdErrDailyMeanSteps",0.306045285801209,0.203253214257427,0.061283149920509,11
"274","II","StepData.MaximumDailyStdDevSteps",20.1013994535367,4.56048120553127,0.894383948399119,26
"275","III","StepData.MaximumDailyStdDevSteps",14.9374427213633,4.85280120504039,1.46317461630032,11
"277","II","StepData.MeanDailyStdDevSteps",11.8693440605454,3.44060148857019,0.674757466489069,26
"278","III","StepData.MeanDailyStdDevSteps",9.23153130179799,4.14238208918542,1.24897519346514,11
"280","II","StepData.ModeDailyStdDevSteps",7.77721697082343,6.86522326149937,1.34638105290601,26
"281","III","StepData.ModeDailyStdDevSteps",6.86136095079386,5.31060882264414,1.60120880664197,11
"283","II","StepData.MinimumDailyStdDevSteps",3.0120663847228,3.63067646267291,0.712034235796585,26
"284","III","StepData.MinimumDailyStdDevSteps",3.66911216044987,3.70431694633479,1.1168935832316,11
"286","II","StepData.StdDevDailyStdDevSteps",4.86802684370501,1.87178048685971,0.367086354909994,26
"287","III","StepData.StdDevDailyStdDevSteps",3.22472963708103,1.37721496120897,0.41524593472673,11
"289","II","StepData.StdErrDailyStdDevSteps",1.20828204069656,0.431804820990699,0.0846838926267312,26
"290","III","StepData.StdErrDailyStdDevSteps",0.804661228114176,0.344296130519127,0.103809189245743,11
"292","II","StepData.MaximumDailyStdErrSteps",0.529718386917001,0.120179231965577,0.0235690864969643,26
"293","III","StepData.MaximumDailyStdErrSteps",0.393636178481765,0.127882540332811,0.038558036683766,11
"295","II","StepData.MeanDailyStdErrSteps",0.312784679695957,0.0906678102070632,0.0177814205192516,26
"296","III","StepData.MeanDailyStdErrSteps",0.243272210040174,0.109161352837606,0.0329133862699941,11
"298","II","StepData.ModeDailyStdErrSteps",0.204947662375978,0.180914517932564,0.0354802560473222,26
"299","III","StepData.ModeDailyStdErrSteps",0.180812737108726,0.139946830347839,0.0421955569875731,11
"301","II","StepData.MinimumDailyStdErrSteps",0.0793749186612753,0.0956767255767476,0.0187637496427884,26
"302","III","StepData.MinimumDailyStdErrSteps",0.0966895951470231,0.0976173227131469,0.0294327302253224,11
"304","II","StepData.StdDevDailyStdErrSteps",0.128283771141236,0.0493257468194629,0.00967357482903764,26
"305","III","StepData.StdDevDailyStdErrSteps",0.0849790874285352,0.0362928008756732,0.0109426911905173,11
"307","II","StepData.StdErrDailyStdErrSteps",0.0318410275373115,0.0113790561580991,0.00223161651524675,26
"308","III","StepData.StdErrDailyStdErrSteps",0.0212046852139092,0.00907299968352542,0.00273561233393337,11
"310","II","StepData.MaximumDailyQ1Steps",0,0,0,26
"311","III","StepData.MaximumDailyQ1Steps",0,0,0,11
"313","II","StepData.MeanDailyQ1Steps",0,0,0,26
"314","III","StepData.MeanDailyQ1Steps",0,0,0,11
"316","II","StepData.ModeDailyQ1Steps",0,0,0,26
"317","III","StepData.ModeDailyQ1Steps",0,0,0,11
"319","II","StepData.MinimumDailyQ1Steps",0,0,0,26
"320","III","StepData.MinimumDailyQ1Steps",0,0,0,11
"322","II","StepData.StdDevDailyQ1Steps",0,0,0,26
"323","III","StepData.StdDevDailyQ1Steps",0,0,0,11
"325","II","StepData.StdErrDailyQ1Steps",0,0,0,26
"326","III","StepData.StdErrDailyQ1Steps",0,0,0,11
"328","II","StepData.MaximumDailyMinimumSteps",0,0,0,26
"329","III","StepData.MaximumDailyMinimumSteps",0,0,0,11
"331","II","StepData.MeanDailyMinimumSteps",0,0,0,26
"332","III","StepData.MeanDailyMinimumSteps",0,0,0,11
"334","II","StepData.ModeDailyMinimumSteps",0,0,0,26
"335","III","StepData.ModeDailyMinimumSteps",0,0,0,11
"337","II","StepData.MinimumDailyMinimumSteps",0,0,0,26
"338","III","StepData.MinimumDailyMinimumSteps",0,0,0,11
"340","II","StepData.StdDevDailyMinimumSteps",0,0,0,26
"341","III","StepData.StdDevDailyMinimumSteps",0,0,0,11
"343","II","StepData.StdErrDailyMinimumSteps",0,0,0,26
"344","III","StepData.StdErrDailyMinimumSteps",0,0,0,11
"346","II","StepData.MaximumDailyModeSteps",0,0,0,26
"347","III","StepData.MaximumDailyModeSteps",0,0,0,11
"349","II","StepData.MeanDailyModeSteps",0,0,0,26
"350","III","StepData.MeanDailyModeSteps",0,0,0,11
"352","II","StepData.ModeDailyModeSteps",0,0,0,26
"353","III","StepData.ModeDailyModeSteps",0,0,0,11
"355","II","StepData.MinimumDailyModeSteps",0,0,0,26
"356","III","StepData.MinimumDailyModeSteps",0,0,0,11
"358","II","StepData.StdDevDailyModeSteps",0,0,0,26
"359","III","StepData.StdDevDailyModeSteps",0,0,0,11
"361","II","StepData.StdErrDailyModeSteps",0,0,0,26
"362","III","StepData.StdErrDailyModeSteps",0,0,0,11
"364","II","StepData.MaximumDailySkewness",13.2238410907748,9.74828910880254,2.43707227720063,16
"365","III","StepData.MaximumDailySkewness",12.392480363287,8.42833426103624,2.80944475367875,9
"367","II","StepData.MeanDailySkewness",5.29573508804474,1.30121393489696,0.325303483724239,16
"368","III","StepData.MeanDailySkewness",5.76576010457311,1.83197483516098,0.610658278386995,9
"370","II","StepData.ModeDailySkewness",8.63057933624298,8.60824426110805,1.87847290129509,21
"371","III","StepData.ModeDailySkewness",9.21798654177192,7.88512144158614,2.62837381386205,9
"373","II","StepData.MinimumDailySkewness",3.20623360487552,0.597014451917003,0.149253612979251,16
"374","III","StepData.MinimumDailySkewness",3.7045328403894,1.12604627575394,0.375348758584648,9
"376","II","StepData.StdDevDailySkewness",2.53506172806951,2.27689062238664,0.569222655596659,16
"377","III","StepData.StdDevDailySkewness",2.178260587511,1.91945982191459,0.639819940638197,9
"379","II","StepData.StdErrDailySkewness",0.645684272745449,0.570771140254031,0.142692785063508,16
"380","III","StepData.StdErrDailySkewness",0.546772920757758,0.466982142985413,0.155660714328471,9
"382","II","StepData.MaximumDailyKurtosis",283.849222511695,386.882425904598,96.7206064761495,16
"383","III","StepData.MaximumDailyKurtosis",237.059299527323,295.107738094122,98.369246031374,9
"385","II","StepData.MeanDailyKurtosis",44.8175949862742,31.1932623677389,7.79831559193471,16
"386","III","StepData.MeanDailyKurtosis",49.5316341980573,32.7799788091263,10.9266596030421,9
"388","II","StepData.ModeDailyKurtosis",149.984498703403,330.957309557891,72.2208058499031,21
"389","III","StepData.ModeDailyKurtosis",149.232496623086,280.170165517441,93.3900551724805,9
"391","II","StepData.MinimumDailyKurtosis",10.7403300112215,5.02935584027467,1.25733896006867,16
"392","III","StepData.MinimumDailyKurtosis",15.6387785954545,9.22700996339042,3.07566998779681,9
"394","II","StepData.StdDevDailyKurtosis",68.4626540259651,95.0987917869188,23.7746979467297,16
"395","III","StepData.StdDevDailyKurtosis",54.4440241217997,71.0518724708811,23.6839574902937,9
"397","II","StepData.StdErrDailyKurtosis",17.3321785156788,24.0758053244212,6.01895133110531,16
"398","III","StepData.StdErrDailyKurtosis",13.5520217094464,17.5013286478622,5.83377621595408,9
"400","II","StepData.TotalActiveMinutes_Pure",2985.07692307692,944.257715799111,185.184173796931,26
"401","III","StepData.TotalActiveMinutes_Pure",2308.72727272727,955.053201754655,287.959375004344,11
"403","II","StepData.MeanActiveMinutes_Pure",191.926396054289,70.3067451420921,13.7882871314124,26
"404","III","StepData.MeanActiveMinutes_Pure",149.856997607655,70.6213868727047,21.2931493119356,11
"406","II","StepData.StdDevActiveMinutes_Pure",81.233169268175,34.5233240279213,6.77058088047912,26
"407","III","StepData.StdDevActiveMinutes_Pure",56.4961836670423,24.3152123195544,7.33131236016264,11
"409","II","StepData.ModeActiveMinutes_Pure",149.192307692308,127.631976943325,25.0306900381708,26
"410","III","StepData.ModeActiveMinutes_Pure",115.909090909091,107.632202008,32.4523299472975,11
"412","II","StepData.MaxActiveMinutes_Pure",313.730769230769,93.7731550892078,18.390428755809,26
"413","III","StepData.MaxActiveMinutes_Pure",246.272727272727,93.887263150111,28.3080749511163,11
"415","II","StepData.TotalActiveMinutes_PosMET",753.153846153846,501.028437700512,98.2597607961468,26
"416","III","StepData.TotalActiveMinutes_PosMET",448.545454545455,339.019280760361,102.218159179843,11
"418","II","StepData.MeanActiveMinutes_PosMET",48.1216058719462,34.2608938683476,6.71911409183984,26
"419","III","StepData.MeanActiveMinutes_PosMET",28.9674109516215,22.2384361523085,6.70514078558929,11
"421","II","StepData.StdDevActiveMinutes_PosMET",30.0894300030477,17.2338366133975,3.37983343022245,26
"422","III","StepData.StdDevActiveMinutes_PosMET",17.3064827151522,13.6358260765337,4.1113562547642,11
"424","II","StepData.ModeActiveMinutes_PosMET",34.1923076923077,45.7261581423756,8.9676374096001,26
"425","III","StepData.ModeActiveMinutes_PosMET",25.7272727272727,20.4992239320951,6.18074857056667,11
"427","II","StepData.MaxActiveMinutes_PosMET",109.5,62.2184859989376,12.2020490082609,26
"428","III","StepData.MaxActiveMinutes_PosMET",64.9090909090909,50.7157856006481,15.291384707769,11
"430","II","StepData.TotalMETClass.BelowMin",22729.9230769231,5142.95975425106,1008.61739017494,26
"431","III","StepData.TotalMETClass.BelowMin",22591.4545454545,3184.95809591386,960.300997922823,11
"433","II","StepData.MeanMETClass.BelowMin",1391.87839412805,34.2608938683477,6.71911409183985,26
"434","III","StepData.MeanMETClass.BelowMin",1411.03258904838,22.2384361523095,6.70514078558957,11
"436","II","StepData.StdDevMETClass.BelowMin",30.0894300030477,17.2338366133975,3.37983343022245,26
"437","III","StepData.StdDevMETClass.BelowMin",17.3064827151522,13.6358260765337,4.1113562547642,11
"439","II","StepData.ModeMETClass.BelowMin",1405.80769230769,45.7261581423756,8.9676374096001,26
"440","III","StepData.ModeMETClass.BelowMin",1414.27272727273,20.4992239320951,6.18074857056667,11
"442","II","StepData.MaxMETClass.BelowMin",1434.65384615385,11.5410304832534,2.26338229388763,26
"443","III","StepData.MaxMETClass.BelowMin",1435,7.77174369109018,2.34326889001435,11
"445","II","StepData.OverallMETClass.BelowMin.PercentageAll",0.966582218144482,0.0237922874085746,0.00466605145266654,26
"446","III","StepData.OverallMETClass.BelowMin.PercentageAll",0.979883742394707,0.0154433584391031,0.00465634776777032,11
"448","II","StepData.TotalMETClassNegligible",323.730769230769,326.006694126646,63.935172881294,26
"449","III","StepData.TotalMETClassNegligible",202.727272727273,179.630226247751,54.1605510427673,11
"451","II","StepData.MeanMETClassNegligible",20.6077625490058,21.7498115996127,4.26548899089969,26
"452","III","StepData.MeanMETClassNegligible",12.7668479911901,10.4204897564762,3.14189587763394,11
"454","II","StepData.StdDevMETClassNegligible",11.7935566251178,10.0480426348884,1.970583287258,26
"455","III","StepData.StdDevMETClassNegligible",7.10829929518582,4.91984261268846,1.48338836126267,11
"457","II","StepData.ModeMETClassNegligible",16.3846153846154,22.7069626732893,4.45320176021251,26
"458","III","StepData.ModeMETClassNegligible",12.3636363636364,12.4520900034711,3.75444639974991,11
"460","II","StepData.MaxMETClassNegligible",42.5769230769231,35.8130401691039,7.02351502551319,26
"461","III","StepData.MaxMETClassNegligible",27.0909090909091,18.1573926842735,5.47465988226175,11
"463","II","StepData.OverallMETClassNegligible.Percentage",0.452922669970824,0.119636135455456,0.0234625765083923,26
"464","III","StepData.OverallMETClassNegligible.Percentage",0.542623261240544,0.170259562397497,0.0513351895856909,11
"466","II","StepData.OverallMETClassNegligible.PercentageAll",0.0143109462145873,0.0151040358330643,0.00296214513256922,26
"467","III","StepData.OverallMETClassNegligible.PercentageAll",0.00886586666054867,0.00723645121977512,0.00218187213724579,11
"469","II","StepData.TotalMETClassSedentary",115.115384615385,70.7142570762513,13.8682067969624,26
"470","III","StepData.TotalMETClassSedentary",61.6363636363636,39.0621881805736,11.7776928804744,11
"472","II","StepData.MeanMETClassSedentary",7.33121842364129,4.63580581640823,0.909156319965096,26
"473","III","StepData.MeanMETClassSedentary",3.96484772537404,2.49887748045823,0.753439909068056,11
"475","II","StepData.StdDevMETClassSedentary",5.62866154423726,3.63475770588225,0.71283463344136,26
"476","III","StepData.StdDevMETClassSedentary",3.08214025189871,1.2963010865247,0.390849483575678,11
"478","II","StepData.ModeMETClassSedentary",4.76923076923077,5.62357674301822,1.10287413649371,26
"479","III","StepData.ModeMETClassSedentary",2.45454545454545,2.69679944985297,0.813115628181742,11
"481","II","StepData.MaxMETClassSedentary",20.3461538461538,14.3469642996484,2.81367118941254,26
"482","III","StepData.MaxMETClassSedentary",11,4.83735464897913,1.45851730441319,11
"484","II","StepData.OverallMETClassSedentary.Percentage",0.169686905997108,0.0663085938701845,0.0130041851562681,26
"485","III","StepData.OverallMETClassSedentary.Percentage",0.152319316635668,0.0543592834129321,0.0163899406321169,11
"487","II","StepData.OverallMETClassSedentary.PercentageAll",0.00509112390530646,0.00321930959472794,0.000631358555531317,26
"488","III","StepData.OverallMETClassSedentary.PercentageAll",0.0027533664759542,0.00173533158365155,0.00052322215907504,11
"490","II","StepData.TotalMETClassVeryLight",58.8076923076923,42.3395977597986,8.30347827595701,26
"491","III","StepData.TotalMETClassVeryLight",35.1818181818182,28.3471980337323,8.54700179416276,11
"493","II","StepData.MeanMETClassVeryLight",3.71746090041235,2.65223985676563,0.520147030168327,26
"494","III","StepData.MeanMETClassVeryLight",2.30019461532619,1.89904156970774,0.572582577091647,11
"496","II","StepData.StdDevMETClassVeryLight",3.57340958297418,2.55950698998749,0.501960618735513,26
"497","III","StepData.StdDevMETClassVeryLight",2.22930119312087,1.72540508850393,0.520229208176136,11
"499","II","StepData.ModeMETClassVeryLight",1.61538461538462,2.72876416096259,0.535154680951572,26
"500","III","StepData.ModeMETClassVeryLight",0.636363636363636,1.12006493318265,0.337712284018304,11
"502","II","StepData.MaxMETClassVeryLight",12.5,9.66333275842243,1.89513547313601,26
"503","III","StepData.MaxMETClassVeryLight",6.81818181818182,4.97630750292186,1.50041316623838,11
