"","NYHAClass","variable","mean","sd","sem","n"
"79","II","HR.1min",91.0606060606061,14.0933038043325,2.45332929092972,33
"80","III","HR.1min",82.4666666666667,14.4066783455584,3.71978835376764,15
"82","II","HR.1minDrop",22.0606060606061,13.9797608034334,2.43356399148302,33
"83","III","HR.1minDrop",12.2142857142857,8.28509849928516,2.21428571428571,14
"85","II","O2Sat",98.2727272727273,1.39805059083906,0.243369369760743,33
"86","III","O2Sat",98.2666666666667,1.38701460836198,0.358125631942156,15
"88","II","Duration",10.0862857142857,2.99176175734272,0.505700035670453,35
"89","III","Duration",8.1088888888889,3.3143558991839,0.855763013396236,15
"91","II","Watts",96.1764705882353,31.2385451376547,5.35736629301818,34
"92","III","Watts",77.3333333333333,33.0511868528341,8.53377975022773,15
"94","II","Watts.Predicted.Percentage",63.2941176470588,21.7639254087552,3.73248241474862,34
"95","III","Watts.Predicted.Percentage",48,14.4716471567189,3.73656322867749,15
"97","II","TestEnd.Reason",NA,NA,NA,0
"98","III","TestEnd.Reason",NA,NA,NA,0
"100","II","TestEnd.Symptom",NA,NA,NA,0
"101","III","TestEnd.Symptom",NA,NA,NA,0
"103","II","VO2.perBodyWeight",14.9171428571429,3.56993044208771,0.603428380443056,35
"104","III","VO2.perBodyWeight",12.88,3.58811530313219,0.926447387553531,15
"106","II","VO2.Predicted.Relative",29.48,5.57430027262721,0.942228718509043,35
"107","III","VO2.Predicted.Relative",29.5,5.18349027476385,1.33837143395923,15
"109","II","VO2.Predicted.Relative.Percentage",51.4,14.2110147834865,2.40209992165469,35
"110","III","VO2.Predicted.Relative.Percentage",43.8,9.68946408661048,2.50180886940782,15
"112","II","VO2",1.27362857142857,0.432830226580835,0.0731616615139801,35
"113","III","VO2",1.18826666666667,0.451955033582935,0.116694287886755,15
"115","II","VO2.Predicted.Absolute",2.3458,0.67481499861291,0.114064553446464,35
"116","III","VO2.Predicted.Absolute",2.34646666666667,0.585025868373926,0.151053029687517,15
"118","II","VO2.Predicted.Absolute.Percentage",57.6994066636239,17.1381592822194,2.89687764711655,35
"119","III","VO2.Predicted.Absolute.Percentage",50.4666666666667,11.5564865314844,2.9838719918073,15
"121","II","VE.Peak",46.2593939393939,14.8374454378512,2.5828677221917,33
"122","III","VE.Peak",43.6933333333333,13.4267572229414,3.46677380786815,15
"124","II","VCO2.Peak",1.43852941176471,0.50087421969714,0.0858992200124177,34
"125","III","VCO2.Peak",1.21193333333333,0.525101278213025,0.135580567039418,15
"127","II","VEperVCO2.Peak",33.0294117647059,6.03768616184613,1.03545463429112,34
"128","III","VEperVCO2.Peak",37.8666666666667,8.65090141188161,2.23365313985998,15
"130","II","VEperVCO2.atAT",32.6969696969697,4.53103774320001,0.788752429383053,33
"131","III","VEperVCO2.atAT",37.5333333333333,6.89582344266303,1.78049395678804,15
"133","II","AT",9.8875,2.5774143082029,0.455626783814376,32
"134","III","AT",8.4,1.70022622929104,0.454404573572402,14
"136","II","VO2.Peak.Measured.Percentage",65.25,7.14368658778618,1.26283730722375,32
"137","III","VO2.Peak.Measured.Percentage",64.5714285714286,6.53645735282307,1.74694170982309,14
"139","II","VO2.Peak.Predicted.Percentage",34.375,9.36964901053637,1.65633558817202,32
"140","III","VO2.Peak.Predicted.Percentage",28.3571428571429,5.18291784255137,1.38519305933034,14
"142","II","RER.Peak",1.12,0.0884204830239115,0.015163987736218,34
"143","III","RER.Peak",1.01546666666667,0.0941714748035023,0.024314970240117,15
"145","II","RPEper20.Peak",16.5714285714286,0.975900072948533,0.368855556781659,7
"146","III","RPEper20.Peak",16.5,0.707106781186548,0.5,2
"148","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,4
"149","III","PETCO2.Peak",30,1.4142135623731,1,2
"151","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,3
"152","III","OUES",1.209,0.231931024229188,0.164,2
"154","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,3
"155","III","TotalRiskScore",11.5,4.94974746830583,3.5,2
"157","II","StepData.LongestActiveStreak",45.8,30.2351567861381,5.11067428003768,35
"158","III","StepData.LongestActiveStreak",33.9333333333333,28.4591603798111,7.34812361320362,15
"160","II","StepData.HighestValuedStreak",3190.77142857143,2220.77665383498,375.379767558078,35
"161","III","StepData.HighestValuedStreak",1817,1988.75409670046,513.494099748177,15
"163","II","StepData.OverallMaximum",125.742857142857,18.1308039099255,3.06466521322438,35
"164","III","StepData.OverallMaximum",112.866666666667,13.7054038699374,3.53872006275428,15
"166","II","StepData.OverallQ3",0,0,0,35
"167","III","StepData.OverallQ3",0,0,0,15
"169","II","StepData.OverallMean",3.80829155051569,1.54121999168032,0.260513726688255,35
"170","III","StepData.OverallMean",2.78615427841458,1.57814737311481,0.407475899595644,15
"172","II","StepData.OverallStdDev",13.0381124015788,3.50761452487368,0.592895067928906,35
"173","III","StepData.OverallStdDev",10.1288791947217,3.63541492845646,0.938660098297714,15
"175","II","StepData.OverallMedian",0,0,0,35
"176","III","StepData.OverallMedian",0,0,0,15
"178","II","StepData.OverallMode",0,0,0,35
"179","III","StepData.OverallMode",0,0,0,15
"181","II","StepData.OverallQ1",0,0,0,35
"182","III","StepData.OverallQ1",0,0,0,15
"184","II","StepData.OverallMinimum",0,0,0,35
"185","III","StepData.OverallMinimum",0,0,0,15
"187","II","StepData.OverallTotal",84293.3428571429,30164.5963925601,5098.74739666813,35
"188","III","StepData.OverallTotal",61611.7333333333,33830.587631539,8735.0201659574,15
"190","II","StepData.Overalln",23081.1428571429,4546.78669432573,768.547224010479,35
"191","III","StepData.Overalln",22752,2838.55899055439,732.912779842965,15
"193","II","StepData.OverallStdErr",0.0875709028390782,0.026551297906899,0.00448798847891601,35
"194","III","StepData.OverallStdErr",0.0680838833513235,0.0259341828684691,0.00669617722313857,15
"196","II","StepData.OverallSkewness",5.18479201904543,1.50527308276823,0.254437590085976,35
"197","III","StepData.OverallSkewness",6.1755442217321,2.69980690805203,0.697087146190749,15
"199","II","StepData.OverallKurtosis",33.9267316392475,23.6016169906754,3.98940140362844,35
