"","NYHAClass","variable","mean","sd","sem","n"
"1","II","Handedness",NA,NA,NA,0
"2","III","Handedness",NA,NA,NA,0
"4","II","WristbandPreference",NA,NA,NA,0
"5","III","WristbandPreference",NA,NA,NA,0
"7","II","NYHAClassMixed",NA,NA,NA,0
"8","III","NYHAClassMixed",NA,NA,NA,0
"10","II","EjectionFraction",31,9.64365076099295,5.56776436283002,3
"11","III","EjectionFraction",19,NA,NA,1
"13","II","HFDiagnosisYear",16849,18744.4989263517,3262.9984351634,33
"14","III","HFDiagnosisYear",14960.4166666667,19153.0202387287,5529.00069531219,12
"16","II","HFTreatmentsToDate",NA,NA,NA,0
"17","III","HFTreatmentsToDate",NA,NA,NA,0
"19","II","RegularPhysicalActivities",NA,NA,NA,0
"20","III","RegularPhysicalActivities",NA,NA,NA,0
"22","II","Exercises",NA,NA,NA,0
"23","III","Exercises",NA,NA,NA,0
"25","II","DeviceID",NA,NA,NA,0
"26","III","DeviceID",NA,NA,NA,0
"28","II","ID",27.3428571428571,14.796547405596,2.50107299902633,35
"29","III","ID",26.2,16.6870351727664,4.30857395478011,15
"31","II","CPSDate",NA,NA,NA,0
"32","III","CPSDate",NA,NA,NA,0
"34","II","Sex",NA,NA,NA,0
"35","III","Sex",NA,NA,NA,0
"37","II","Age",54.0857142857143,14.2856806722294,2.41472076036552,35
"38","III","Age",56.1333333333333,12.7608030796692,3.29482518745274,15
"40","II","Height",173.314285714286,8.95994822914215,1.51450767360135,35
"41","III","Height",175.6,8.21844615136323,2.12199367172882,15
"43","II","Weight",85.5428571428571,20.5589151366661,3.47509092007117,35
"44","III","Weight",92.7533333333333,18.3191105003439,4.72997399234435,15
"46","II","SBP.Resting",110.571428571429,14.2545879390084,2.40946512921095,35
"47","III","SBP.Resting",103.4,15.5508382870047,4.01520918034226,15
"49","II","DBP.Resting",68.9428571428571,8.07662880000742,1.36519943883783,35
"50","III","DBP.Resting",65.7333333333333,10.7601557786564,2.77826027555558,15
"52","II","HR.Resting",66.6571428571429,11.9802358248979,2.0250294560127,35
"53","III","HR.Resting",67.6666666666667,12.1576940169394,3.13910309705945,15
"55","II","O2Sat.Resting",98.5757575757576,1.09059338866231,0.189847940699116,33
"56","III","O2Sat.Resting",98.2666666666667,1.38701460836198,0.358125631942156,15
"58","II","FEV.Resting",2.6069696969697,0.789238101147575,0.137388718638696,33
"59","III","FEV.Resting",2.79733333333333,0.842576547320917,0.217552329045257,15
"61","II","FEV.Resting.Percentage",72.7575757575758,22.6633381023051,3.94518077298072,33
"62","III","FEV.Resting.Percentage",78.1333333333333,15.4497649851135,3.98911216601086,15
"64","II","FVC.Resting",3.3569696969697,1.00165327349489,0.174365453930342,33
"65","III","FVC.Resting",3.594,0.918032056707639,0.237034857794215,15
"67","II","FVC.Resting.Percentage",74.3333333333333,17.3415445294434,3.01877542233685,33
"68","III","FVC.Resting.Percentage",76.8,12.5254027594211,3.23404508611856,15
"70","II","SBP",133.428571428571,18.3451960602059,3.10090410082237,35
"71","III","SBP",121.6,23.4819079292974,6.06300255648965,15
"73","II","DBP",73.4,8.89216442916426,1.50305012021075,35
"74","III","DBP",70.8666666666667,11.0121145411164,2.84331574828482,15
"76","II","HR",110.088235294118,17.2422448919117,2.95702060364351,34
"77","III","HR",95.6666666666667,21.4498307241628,5.53832247824338,15
"79","II","HR.1min",91.0606060606061,14.0933038043325,2.45332929092972,33
"80","III","HR.1min",82.4666666666667,14.4066783455584,3.71978835376764,15
"82","II","HR.1minDrop",22.0606060606061,13.9797608034334,2.43356399148302,33
"83","III","HR.1minDrop",12.2142857142857,8.28509849928516,2.21428571428571,14
"85","II","O2Sat",98.2727272727273,1.39805059083906,0.243369369760743,33
"86","III","O2Sat",98.2666666666667,1.38701460836198,0.358125631942156,15
"88","II","Duration",10.0862857142857,2.99176175734272,0.505700035670453,35
"89","III","Duration",8.1088888888889,3.3143558991839,0.855763013396236,15
"91","II","Watts",96.1764705882353,31.2385451376547,5.35736629301818,34
"92","III","Watts",77.3333333333333,33.0511868528341,8.53377975022773,15
"94","II","Watts.Predicted.Percentage",63.2941176470588,21.7639254087552,3.73248241474862,34
"95","III","Watts.Predicted.Percentage",48,14.4716471567189,3.73656322867749,15
"97","II","TestEnd.Reason",NA,NA,NA,0
"98","III","TestEnd.Reason",NA,NA,NA,0
"100","II","TestEnd.Symptom",NA,NA,NA,0
"101","III","TestEnd.Symptom",NA,NA,NA,0
"103","II","VO2.perBodyWeight",14.9171428571429,3.56993044208771,0.603428380443056,35
"104","III","VO2.perBodyWeight",12.88,3.58811530313219,0.926447387553531,15
"106","II","VO2.Predicted.Relative",29.48,5.57430027262721,0.942228718509043,35
"107","III","VO2.Predicted.Relative",29.5,5.18349027476385,1.33837143395923,15
"109","II","VO2.Predicted.Relative.Percentage",51.4,14.2110147834865,2.40209992165469,35
"110","III","VO2.Predicted.Relative.Percentage",43.8,9.68946408661048,2.50180886940782,15
"112","II","VO2",1.27362857142857,0.432830226580835,0.0731616615139801,35
"113","III","VO2",1.18826666666667,0.451955033582935,0.116694287886755,15
"115","II","VO2.Predicted.Absolute",2.3458,0.67481499861291,0.114064553446464,35
"116","III","VO2.Predicted.Absolute",2.34646666666667,0.585025868373926,0.151053029687517,15
"118","II","VO2.Predicted.Absolute.Percentage",57.6994066636239,17.1381592822194,2.89687764711655,35
"119","III","VO2.Predicted.Absolute.Percentage",50.4666666666667,11.5564865314844,2.9838719918073,15
"121","II","VE.Peak",46.2593939393939,14.8374454378512,2.5828677221917,33
"122","III","VE.Peak",43.6933333333333,13.4267572229414,3.46677380786815,15
"124","II","VCO2.Peak",1.43852941176471,0.50087421969714,0.0858992200124177,34
"125","III","VCO2.Peak",1.21193333333333,0.525101278213025,0.135580567039418,15
"127","II","VEperVCO2.Peak",33.0294117647059,6.03768616184613,1.03545463429112,34
"128","III","VEperVCO2.Peak",37.8666666666667,8.65090141188161,2.23365313985998,15
"130","II","VEperVCO2.atAT",32.6969696969697,4.53103774320001,0.788752429383053,33
"131","III","VEperVCO2.atAT",37.5333333333333,6.89582344266303,1.78049395678804,15
"133","II","AT",9.8875,2.5774143082029,0.455626783814376,32
"134","III","AT",8.4,1.70022622929104,0.454404573572402,14
"136","II","VO2.Peak.Measured.Percentage",65.25,7.14368658778618,1.26283730722375,32
"137","III","VO2.Peak.Measured.Percentage",64.5714285714286,6.53645735282307,1.74694170982309,14
"139","II","VO2.Peak.Predicted.Percentage",34.375,9.36964901053637,1.65633558817202,32
"140","III","VO2.Peak.Predicted.Percentage",28.3571428571429,5.18291784255137,1.38519305933034,14
"142","II","RER.Peak",1.12,0.0884204830239115,0.015163987736218,34
"143","III","RER.Peak",1.01546666666667,0.0941714748035023,0.024314970240117,15
"145","II","RPEper20.Peak",16.5714285714286,0.975900072948533,0.368855556781659,7
"146","III","RPEper20.Peak",16.5,0.707106781186548,0.5,2
"148","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,4
"149","III","PETCO2.Peak",30,1.4142135623731,1,2
"151","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,3
"152","III","OUES",1.209,0.231931024229188,0.164,2
"154","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,3
"155","III","TotalRiskScore",11.5,4.94974746830583,3.5,2
"157","II","StepData.LongestActiveStreak",45.8,30.2351567861381,5.11067428003768,35
"158","III","StepData.LongestActiveStreak",33.9333333333333,28.4591603798111,7.34812361320362,15
"160","II","StepData.HighestValuedStreak",3190.77142857143,2220.77665383498,375.379767558078,35
"161","III","StepData.HighestValuedStreak",1817,1988.75409670046,513.494099748177,15
"163","II","StepData.MeanDailyTotalSteps",5483.93983274259,2219.35678801967,375.139766431087,35
"164","III","StepData.MeanDailyTotalSteps",4012.062160917,2272.53221728533,586.765295417727,15
"166","II","StepData.StdDevDailyTotalSteps",2640.45748714742,1257.1532803437,212.497688745677,35
"167","III","StepData.StdDevDailyTotalSteps",1933.30982745281,1133.0866447644,292.561713665503,15
"169","II","StepData.MeanDailyMeanSteps",3.80829155051569,1.54121999168032,0.260513726688255,35
"170","III","StepData.MeanDailyMeanSteps",2.78615427841458,1.57814737311481,0.407475899595644,15
"172","II","StepData.StdDevDailyMeanSteps",1.83365103274126,0.873023111349791,0.147567839406721,35
"173","III","StepData.StdDevDailyMeanSteps",1.34257626906445,0.786865725530832,0.203167856712155,15
"175","II","StepData.ModeDailyModeSteps",0,0,0,35
"176","III","StepData.ModeDailyModeSteps",0,0,0,15
"178","II","StepData.MeanDailyMinSteps",0,0,0,35
"179","III","StepData.MeanDailyMinSteps",0,0,0,15
"181","II","StepData.MeanDailyMaxSteps",95.5698497652924,17.3165017365647,2.92702302393428,35
"182","III","StepData.MeanDailyMaxSteps",80.5491965616656,20.9328329623629,5.40483423014487,15
"184","II","StepData.ModeDailyMinSteps",0,0,0,35
"185","III","StepData.ModeDailyMinSteps",0,0,0,15
"187","II","StepData.ModeDailyMaxSteps",95.1142857142857,37.6842699502149,6.36980421695243,35
"188","III","StepData.ModeDailyMaxSteps",68.4,43.4425729309066,11.2168240985202,15
"190","II","StepData.MaxDailyMaxSteps",125.742857142857,18.1308039099255,3.06466521322438,35
"191","III","StepData.MaxDailyMaxSteps",112.866666666667,13.7054038699374,3.53872006275428,15
"193","II","StepData.StdDevDailyMaxSteps",24.5863238738356,12.5715077234355,2.12497264816279,35
"194","III","StepData.StdDevDailyMaxSteps",23.4963273036102,11.111742326432,2.86903953184129,15
"196","II","StepData.TotalActiveMinutes_Pure",2971.51428571429,888.384898414585,150.16445534633,35
"197","III","StepData.TotalActiveMinutes_Pure",2438.93333333333,1097.91714927251,283.480988976529,15
"199","II","StepData.MeanActiveMinutes_Pure",193.154442009824,66.7713594192159,11.2864197014315,35
"200","III","StepData.MeanActiveMinutes_Pure",158.133822055138,73.1219267412283,18.8800003007584,15
