"","NYHAClass","variable","mean","sd","sem","n"
"202","II","StepData.StdDevActiveMinutes_Pure",74.7705033620568,34.7339638823668,5.87111147175378,35
"203","III","StepData.StdDevActiveMinutes_Pure",66.2393455257541,34.2484366169393,8.84290831006974,15
"205","II","StepData.ModeActiveMinutes_Pure",161.857142857143,121.030900978207,20.4579561830715,35
"206","III","StepData.ModeActiveMinutes_Pure",118.466666666667,114.764271858615,29.6320075765358,15
"208","II","StepData.MaxActiveMinutes_Pure",306.2,89.7430318448507,15.1693410391825,35
"209","III","StepData.MaxActiveMinutes_Pure",268.466666666667,108.556678196011,28.02921378485,15
"211","II","StepData.TotalActiveMinutes_PosMET",772.114285714286,516.281658845735,87.2675281223539,35
"212","III","StepData.TotalActiveMinutes_PosMET",456.266666666667,328.03537846368,84.6983705171119,15
"214","II","StepData.MeanActiveMinutes_PosMET",50.3916283075954,36.1944750433116,6.11798291610399,35
"215","III","StepData.MeanActiveMinutes_PosMET",29.466017330909,21.0599031867974,5.43764362101378,15
"217","II","StepData.StdDevActiveMinutes_PosMET",28.5937466707554,16.4423988161041,2.77927266347471,35
"218","III","StepData.StdDevActiveMinutes_PosMET",17.8464390552177,12.2573261241944,3.16482799653588,15
"220","II","StepData.ModeActiveMinutes_PosMET",36.2285714285714,43.9351699628426,7.42639916526339,35
"221","III","StepData.ModeActiveMinutes_PosMET",20.1333333333333,20.2902744706728,5.23892634099289,15
"223","II","StepData.MaxActiveMinutes_PosMET",108.085714285714,62.0902433505276,10.4951666689655,35
"224","III","StepData.MaxActiveMinutes_PosMET",67,45.7337012341165,11.8083908826773,15
"226","II","StepData.TotalMETClass.BelowMin",22309.0285714286,4666.72574778527,788.820624278368,35
"227","III","StepData.TotalMETClass.BelowMin",22295.7333333333,2895.46883612177,747.606838784147,15
"229","II","StepData.MeanMETClass.BelowMin",1389.60837169241,36.1944750433113,6.11798291610392,35
"230","III","StepData.MeanMETClass.BelowMin",1410.53398266909,21.0599031867983,5.43764362101401,15
"232","II","StepData.StdDevMETClass.BelowMin",28.5937466707554,16.4423988161041,2.77927266347471,35
"233","III","StepData.StdDevMETClass.BelowMin",17.8464390552177,12.2573261241944,3.16482799653588,15
"235","II","StepData.ModeMETClass.BelowMin",1403.77142857143,43.9351699628426,7.42639916526339,35
"236","III","StepData.ModeMETClass.BelowMin",1419.86666666667,20.2902744706728,5.23892634099289,15
"238","II","StepData.MaxMETClass.BelowMin",1431.22857142857,16.2518518660376,2.74706435035985,35
"239","III","StepData.MaxMETClass.BelowMin",1435.06666666667,7.9053929753832,2.04116368925895,15
"241","II","StepData.OverallMETClass.BelowMin.PercentageAll",0.965005813675281,0.0251350521134108,0.00424859924729442,35
"242","III","StepData.OverallMETClass.BelowMin.PercentageAll",0.979537487964647,0.0146249327686092,0.00377614140348178,15
"244","II","StepData.TotalMETClassIV",521.971428571429,419.67140407104,70.937414547706,35
"245","III","StepData.TotalMETClassIV",323.333333333333,245.982771367272,63.5124784639595,15
"247","II","StepData.MeanMETClassIV",34.0031957029085,28.7682303920646,4.86271846337273,35
"248","III","StepData.MeanMETClassIV",20.6241215375039,14.716396179645,3.79975715466371,15
"250","II","StepData.StdDevMETClassIV",18.8600456652302,14.7052341188483,2.48563823646472,35
"251","III","StepData.StdDevMETClassIV",11.7450963558049,7.1100034762678,1.8357950036708,15
"253","II","StepData.ModeMETClassIV",28.9428571428571,33.1244914341807,5.59906097426322,35
"254","III","StepData.ModeMETClassIV",11.2,14.8477992597268,3.83368528405017,15
"256","II","StepData.MaxMETClassIV",71.5142857142857,54.5081599010489,9.21356065155877,35
"257","III","StepData.MaxMETClassIV",44.8666666666667,27.5340481862695,7.10926067193961,15
"259","II","StepData.OverallMETClassIV.Percentage",0.714791064410746,0.124528635619154,0.021049181245813,35
"260","III","StepData.OverallMETClassIV.Percentage",0.777989152567024,0.150885267601701,0.0389584085739626,15
"262","II","StepData.OverallMETClassIV.PercentageAll",0.0236133303492421,0.0199779377722671,0.00337688782178662,35
"263","III","StepData.OverallMETClassIV.PercentageAll",0.0143223066232666,0.0102197195691979,0.00263872024629424,15
"265","II","StepData.TotalMETClassIII",246.8,166.45239559706,28.1355900697218,35
"266","III","StepData.TotalMETClassIII",132.066666666667,164.072922231317,42.3634463576984,15
"268","II","StepData.MeanMETClassIII",16.1728230450735,11.826887276448,1.99910882037691,35
"269","III","StepData.MeanMETClassIII",8.78772912673842,11.558064889635,2.98427952212939,15
"271","II","StepData.StdDevMETClassIII",13.3909678466813,6.73700677728329,1.13876198839116,35
"272","III","StepData.StdDevMETClassIII",8.13720003109546,8.76290755591042,2.26257300189308,15
"274","II","StepData.ModeMETClassIII",9.97142857142857,13.4721623974723,2.27721107412344,35
"275","III","StepData.ModeMETClassIII",3.66666666666667,6.35460088289992,1.64075089275109,15
"277","II","StepData.MaxMETClassIII",46.6571428571429,23.9692730473865,4.05154661974965,35
"278","III","StepData.MaxMETClassIII",26.0666666666667,26.7994314083251,6.91958343548475,15
"280","II","StepData.OverallMETClassIII.Percentage",0.281010361717977,0.122914582015613,0.0207763563917344,35
"281","III","StepData.OverallMETClassIII.Percentage",0.221015352909881,0.150104803849593,0.0387568936996803,15
"283","II","StepData.OverallMETClassIII.PercentageAll",0.0112311271146344,0.00821311616419998,0.00138827001415063,35
"284","III","StepData.OverallMETClassIII.PercentageAll",0.00610258967134612,0.00802643395113539,0.00207241633481208,15
"286","II","StepData.TotalMETClassII",3.22857142857143,9.68347808894922,1.63680654148916,35
"287","III","StepData.TotalMETClassII",0.866666666666667,3.35658556671309,0.866666666666667,15
"289","II","StepData.MeanMETClassII",0.207990511994271,0.611970912377604,0.103441964073205,35
"290","III","StepData.MeanMETClassII",0.0541666666666667,0.209786597919568,0.0541666666666667,15
"292","II","StepData.StdDevMETClassII",0.364458489475051,0.875281977599856,0.147949657491142,35
"293","III","StepData.StdDevMETClassII",0.0917928424547687,0.35551215012836,0.0917928424547687,15
"295","II","StepData.ModeMETClassII",0,0,0,35
"296","III","StepData.ModeMETClassII",0,0,0,15
"298","II","StepData.MaxMETClassII",1.11428571428571,2.45873507138539,0.415602081366316,35
"299","III","StepData.MaxMETClassII",0.266666666666667,1.03279555898864,0.266666666666667,15
"301","II","StepData.OverallMETClassII.Percentage",0.00403526478255683,0.0122379083365835,0.00206858405992823,35
"302","III","StepData.OverallMETClassII.Percentage",0.000995494523094987,0.00385553370918758,0.000995494523094987,15
"304","II","StepData.OverallMETClassII.PercentageAll",0.000144437855551577,0.000424979800262224,7.18346972730588e-05,35
"305","III","StepData.OverallMETClassII.PercentageAll",3.76157407407407e-05,0.000145685137444145,3.76157407407407e-05,15
"307","II","StepData.TotalMETClassI",0.114285714285714,0.676123403782813,0.114285714285714,35
"308","III","StepData.TotalMETClassI",0,0,0,15
"310","II","StepData.MeanMETClassI",0.00761904761904763,0.0450748935855209,0.00761904761904763,35
"311","III","StepData.MeanMETClassI",0,0,0,15
"313","II","StepData.StdDevMETClassI",0.016960481134419,0.100339559550979,0.016960481134419,35
"314","III","StepData.StdDevMETClassI",0,0,0,15
"316","II","StepData.ModeMETClassI",0,0,0,35
"317","III","StepData.ModeMETClassI",0,0,0,15
"319","II","StepData.MaxMETClassI",0.0571428571428571,0.338061701891407,0.0571428571428571,35
"320","III","StepData.MaxMETClassI",0,0,0,15
"322","II","StepData.OverallMETClassI.Percentage",0.000163309088719961,0.000966149598172584,0.000163309088719961,35
"323","III","StepData.OverallMETClassI.Percentage",0,0,0,15
"325","II","StepData.OverallMETClassI.PercentageAll",5.29100529100529e-06,3.13020094343895e-05,5.29100529100529e-06,35
"326","III","StepData.OverallMETClassI.PercentageAll",0,0,0,15
"328","II","BMI",28.380998296732,6.33191419421553,1.07028884436343,35
"329","III","BMI",30.2199554150728,6.71485470595359,1.73376802989072,15
