"","variable","mean","sd","sem","n","NYHAClass.r","PureNYHAClass.r","ExplicitNYHAClass.r","NYHAClass.r2","PureNYHAClass.r2","ExplicitNYHAClass.r2","NYHAClass.p","PureNYHAClass.p","ExplicitNYHAClass.p"
"37","StepData.MaxActiveMinutes_PosMET",95.76,60.2855653349548,8.52566641120224,50,-0.315481657075639,-0.333883891210245,-0.279759230905737,0.0995286759511913,0.111478452809695,0.0782652272769693,0.025634734175406,0.0434248767975771,0.0491086667594178
"38","StepData.MaxActiveMinutes_Pure",294.88,96.2313623619702,13.6091697777938,50,-0.181511918640484,-0.32016123996794,-0.173608202848862,0.0329465766085495,0.102503219577809,0.0301398080964115,0.207117953734952,0.0533824179997691,0.227922602467074
"39","StepData.MaxDailyMaxSteps",121.88,17.8126760642928,2.51909280722814,50,-0.334622263053834,-0.320556466916452,-0.307001261770273,0.111972058931269,0.102756448481958,0.0942497747285399,0.0175389625969977,0.053072139723124,0.0301139692515133
"40","StepData.MaxMETClass.BelowMin",1432.36,14.282513927234,2.01985249006769,50,0.125322395530654,0.0170676028625646,0.236023766706762,0.0157057028215418,0.000291303067474222,0.0557072184504481,0.38584583050255,0.920136285856321,0.0989156275141065
"41","StepData.MaxMETClassLight",20.8,16.9897928540783,2.4027195476147,50,-0.173857739782835,-0.130485238309705,-0.0958703356451859,0.030226513682396,0.0170263974167405,0.00919112125672061,0.227244496632137,0.441437272923671,0.507786951189619
"42","StepData.MaxMETClassLowModerate",24.66,18.6466717498576,2.63703760817679,50,-0.408790672693938,-0.404734943003083,-0.333156541935023,0.167109814081562,0.163810374087709,0.110993281434103,0.00320415034425414,0.0129639291435033,0.0180706803235737
"43","StepData.MaxMETClassModerate",0.86,2.1571901603139,0.305072758133371,50,-0.181890026589402,-0.164500221442755,-0.181548533566758,0.0330839817726933,0.0270603228547154,0.0329598700402401,0.206157301481527,0.330592397081798,0.207024789517517
"44","StepData.MaxMETClassNegligible",40.58,33.998853522087,4.80816397560717,50,-0.213568224522182,-0.223183943879635,-0.250025756658751,0.0456113865255573,0.0498110728056682,0.0625128789927811,0.136434440148825,0.184244283908538,0.0799176477569803
"45","StepData.MaxMETClassSedentary",17.7,12.4035051003944,1.75412051339416,50,-0.303898807289317,-0.333929739496162,-0.283076347165728,0.0923544850718692,0.111509070919974,0.0801322183246916,0.0319074705217859,0.0433943210118815,0.0463738192221941
"46","StepData.MaxMETClassVeryLight",10.36,8.2084078348772,1.16084416855729,50,-0.265323265101747,-0.296857298984088,-0.199697297396515,0.0703964350042519,0.0881242559601283,0.0398790105874723,0.0625754563613194,0.0743913045955338,0.164404984485615
"47","StepData.MaxMETClassVigorous",0.04,0.282842712474619,0.04,50,-0.0935219529582825,-0.108407272597999,-0.0479894853106398,0.0087463556851312,0.0117521367521368,0.00230299070038011,0.518284502839568,0.523038010639135,0.740686132003612
"48","StepData.MeanActiveMinutes_PosMET",43.7893315446401,33.628354697184,4.75576752930506,50,-0.286055308964657,-0.276287778608487,-0.294172520226854,0.0818276397868652,0.0763349366084123,0.0865374716566189,0.0440248032044295,0.0978617775609494,0.0381136448924857
"49","StepData.MeanActiveMinutes_Pure",180.708827881986,68.1696307538011,9.64064163539915,50,-0.232738163414616,-0.275718456800702,-0.241784189220749,0.0541670527096087,0.0760206674205605,0.0584595941571348,0.103842296811707,0.0985836154395439,0.0907163565827283
"50","StepData.MeanDailyKurtosis",56.2471469473743,42.6480193598241,6.03134073870136,50,0.144630859657771,0.0221921261707222,0.115383108136119,0.0209180855653457,0.000492490463977253,0.0133132616431514,0.316290882673531,0.896271990762542,0.424919242159904
"51","StepData.MeanDailyMaxSteps",90.4064458332967,19.6221554297112,2.77499183316904,50,-0.353344710687411,-0.32623369189708,-0.325853658863373,0.12485248457077,0.106428421728799,0.106180606994648,0.0118323039136681,0.0487721061453321,0.0209281159306769
"52","StepData.MeanDailyMeanSteps",3.47728658387929,1.59607645478116,0.225719296893588,50,-0.295461927660653,-0.324517132979115,-0.286583042919391,0.0872977506969491,0.105311369596985,0.0821298404889375,0.03723779905819,0.0500416687193235,0.0436189878992419
"53","StepData.MeanDailyMinSteps",0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","StepData.MeanDailySkewness",5.71491555894621,1.73018642346365,0.244685310549609,50,0.183337649166471,0.134089898304522,0.192940341703352,0.0336126936018882,0.0179801008273171,0.0372259754566062,0.202508328581036,0.428812592575514,0.179453269897031
"55","StepData.MeanDailyStdDevSteps",11.0902180412468,3.7940388217246,0.536558115785296,50,-0.326672604385252,-0.322184407091251,-0.309332669658776,0.106714990455844,0.103802792172741,0.0956867005182252,0.0205898044015269,0.0518092604535396,0.0288221013090872
"56","StepData.MeanDailyTotalSteps",4992.52090926017,2287.46036264933,323.495746824956,50,-0.293322118386337,-0.323998788686141,-0.282344390042544,0.0860378651346481,0.104975215070087,0.0797183545884965,0.038700519506327,0.0504301986216764,0.046966360411594
"57","StepData.MeanMETClass.BelowMin",1383.62664368756,43.5869454758022,6.16412494342961,50,0.228845240271076,0.232012262895958,0.286139533023378,0.0523701439947263,0.0538296901341031,0.0818758323588367,0.109921551634055,0.167040385479565,0.0439598306566711
"58","StepData.MeanMETClassLight",6.74013298120216,6.52762954418617,0.923146223153539,50,-0.125557649084102,-0.0739134406988186,-0.0852955678645498,0.0157647232435264,0.00546319671593778,0.00727533389733602,0.384947554045064,0.663735094534069,0.55589429166717
"59","StepData.MeanMETClassLowModerate",7.11613350859785,7.62542866229901,1.07839846331318,50,-0.335754333667088,-0.335655412396579,-0.283279118772549,0.11273097257623,0.112664555871118,0.0802470591325518,0.0171374262437234,0.0422568087932316,0.0462107518421915
"60","StepData.MeanMETClassModerate",0.16184335839599,0.526790048276915,0.0744993630796391,50,-0.135170746196157,-0.10744772346192,-0.176314944865221,0.018271130627226,0.0115450132771493,0.031086959782826,0.349308431836632,0.52674463791308,0.220641476832274
"61","StepData.MeanMETClassNegligible",19.8991650575976,19.8032924707414,2.80060847917634,50,-0.207232750800486,-0.189258007406217,-0.252389565763476,0.0429454130043364,0.0358185933673716,0.0637004929062762,0.148732635358908,0.261915626664267,0.0770149009975944
