"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"98","III","TestEnd.Reason",NA,NA,NA,NA,NA,NA,0
"100","II","TestEnd.Symptom",NA,NA,NA,NA,NA,NA,0
"101","III","TestEnd.Symptom",NA,NA,NA,NA,NA,NA,0
"103","II","VO2.perBodyWeight",14.9171428571429,3.56993044208771,0.603428380443056,15.1,12.1,16.95,35
"104","III","VO2.perBodyWeight",12.88,3.58811530313219,0.926447387553531,12.3,11.45,13.55,15
"106","II","VO2.Predicted.Relative",29.48,5.57430027262721,0.942228718509043,29.7,25.35,32.75,35
"107","III","VO2.Predicted.Relative",29.5,5.18349027476385,1.33837143395923,29.9,25.1,33.1,15
"109","II","VO2.Predicted.Relative.Percentage",51.4,14.2110147834865,2.40209992165469,51,41,60,35
"110","III","VO2.Predicted.Relative.Percentage",43.8,9.68946408661048,2.50180886940782,43,37,51,15
"112","II","VO2",1.27362857142857,0.432830226580835,0.0731616615139801,1.309,0.972,1.472,35
"113","III","VO2",1.18826666666667,0.451955033582935,0.116694287886755,1.105,0.8765,1.261,15
"115","II","VO2.Predicted.Absolute",2.3458,0.67481499861291,0.114064553446464,2.304,1.8305,2.6715,35
"116","III","VO2.Predicted.Absolute",2.34646666666667,0.585025868373926,0.151053029687517,2.231,1.8865,2.8855,15
"118","II","VO2.Predicted.Absolute.Percentage",57.6994066636239,17.1381592822194,2.89687764711655,60,46.5,69.5,35
"119","III","VO2.Predicted.Absolute.Percentage",50.4666666666667,11.5564865314844,2.9838719918073,51,41.5,54,15
"121","II","VE.Peak",46.2593939393939,14.8374454378512,2.5828677221917,49,34,56,33
"122","III","VE.Peak",43.6933333333333,13.4267572229414,3.46677380786815,44.7,34.55,53,15
"124","II","VCO2.Peak",1.43852941176471,0.50087421969714,0.0858992200124177,1.365,1.13025,1.67375,34
"125","III","VCO2.Peak",1.21193333333333,0.525101278213025,0.135580567039418,1.014,0.8895,1.387,15
"127","II","VEperVCO2.Peak",33.0294117647059,6.03768616184613,1.03545463429112,32,29,35.5,34
"128","III","VEperVCO2.Peak",37.8666666666667,8.65090141188161,2.23365313985998,37,33,39.5,15
"130","II","VEperVCO2.atAT",32.6969696969697,4.53103774320001,0.788752429383053,31,30,35,33
"131","III","VEperVCO2.atAT",37.5333333333333,6.89582344266303,1.78049395678804,40,33,41,15
"133","II","AT",9.8875,2.5774143082029,0.455626783814376,9.85,8.125,11.35,32
"134","III","AT",8.4,1.70022622929104,0.454404573572402,8.25,7.45,8.95,14
"136","II","VO2.Peak.Measured.Percentage",65.25,7.14368658778618,1.26283730722375,65,60.75,70.25,32
"137","III","VO2.Peak.Measured.Percentage",64.5714285714286,6.53645735282307,1.74694170982309,64,59.25,67.75,14
"139","II","VO2.Peak.Predicted.Percentage",34.375,9.36964901053637,1.65633558817202,33,29,39,32
"140","III","VO2.Peak.Predicted.Percentage",28.3571428571429,5.18291784255137,1.38519305933034,29,24.25,32.5,14
"142","II","RER.Peak",1.12,0.0884204830239115,0.015163987736218,1.115,1.0525,1.1725,34
"143","III","RER.Peak",1.01546666666667,0.0941714748035023,0.024314970240117,1.012,0.96,1.095,15
"145","II","RPEper20.Peak",16.5714285714286,0.975900072948533,0.368855556781659,17,16,17,7
"146","III","RPEper20.Peak",16.5,0.707106781186548,0.5,16.5,16.25,16.75,2
"148","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,33,31.5,34,4
"149","III","PETCO2.Peak",30,1.4142135623731,1,30,29.5,30.5,2
"151","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,1.147,1.0855,1.3275,3
"152","III","OUES",1.209,0.231931024229188,0.164,1.209,1.127,1.291,2
"154","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,10,7.5,10,3
"155","III","TotalRiskScore",11.5,4.94974746830583,3.5,11.5,9.75,13.25,2
"157","II","StepData.LongestActiveStreak",45.8,30.2351567861381,5.11067428003768,41,25,58.5,35
"158","III","StepData.LongestActiveStreak",33.9333333333333,28.4591603798111,7.34812361320362,26,17,33,15
"160","II","StepData.HighestValuedStreak",3190.77142857143,2220.77665383498,375.379767558078,2862,1320.5,4049,35
"161","III","StepData.HighestValuedStreak",1817,1988.75409670046,513.494099748177,1162,773.5,1688,15
"163","II","StepData.OverallMaximum",125.742857142857,18.1308039099255,3.06466521322438,123,114.5,132,35
"164","III","StepData.OverallMaximum",112.866666666667,13.7054038699374,3.53872006275428,111,105,118,15
"166","II","StepData.OverallQ3",0,0,0,0,0,0,35
"167","III","StepData.OverallQ3",0,0,0,0,0,0,15
"169","II","StepData.OverallMean",3.80829155051569,1.54121999168032,0.260513726688255,3.97838541666667,2.72457602339181,4.98302331349206,35
"170","III","StepData.OverallMean",2.78615427841458,1.57814737311481,0.407475899595644,2.45884259259259,1.6581958912037,3.98251488095238,15
"172","II","StepData.OverallStdDev",13.0381124015788,3.50761452487368,0.592895067928906,13.2887449428234,10.8289982361007,15.0481407295018,35
"173","III","StepData.OverallStdDev",10.1288791947217,3.63541492845646,0.938660098297714,9.20152626417489,7.78368221582927,12.309097511371,15
"175","II","StepData.OverallMedian",0,0,0,0,0,0,35
"176","III","StepData.OverallMedian",0,0,0,0,0,0,15
"178","II","StepData.OverallMode",0,0,0,0,0,0,35
"179","III","StepData.OverallMode",0,0,0,0,0,0,15
"181","II","StepData.OverallQ1",0,0,0,0,0,0,35
"182","III","StepData.OverallQ1",0,0,0,0,0,0,15
"184","II","StepData.OverallMinimum",0,0,0,0,0,0,35
"185","III","StepData.OverallMinimum",0,0,0,0,0,0,15
"187","II","StepData.OverallTotal",84293.3428571429,30164.5963925601,5098.74739666813,88130,62420,107821,35
"188","III","StepData.OverallTotal",61611.7333333333,33830.587631539,8735.0201659574,53123,37450,80287.5,15
"190","II","StepData.Overalln",23081.1428571429,4546.78669432573,768.547224010479,21600,20160,23040,35
"191","III","StepData.Overalln",22752,2838.55899055439,732.912779842965,23040,20160,23760,15
"193","II","StepData.OverallStdErr",0.0875709028390782,0.026551297906899,0.00448798847891601,0.0876223448433046,0.0689979267117252,0.103300236758823,35
"194","III","StepData.OverallStdErr",0.0680838833513235,0.0259341828684691,0.00669617722313857,0.0634383971434108,0.0499432390228135,0.0866923844466948,15
"196","II","StepData.OverallSkewness",5.18479201904543,1.50527308276823,0.254437590085976,4.5849446797752,4.11996637806654,5.8624615204569,35
"197","III","StepData.OverallSkewness",6.1755442217321,2.69980690805203,0.697087146190749,5.44370545455716,4.23306280535527,7.04667375740482,15
"199","II","StepData.OverallKurtosis",33.9267316392475,23.6016169906754,3.98940140362844,24.4626556913903,18.4167652075599,40.5950107694938,35
"200","III","StepData.OverallKurtosis",54.8317379474192,54.844784119886,14.1608623681773,36.0255217967342,20.1373607787242,59.2674922967758,15
"202","II","StepData.OverallIQR",0,0,0,0,0,0,35
"203","III","StepData.OverallIQR",0,0,0,0,0,0,15
"205","II","StepData.MaximumDailyTotalSteps",10393.4571428571,4000.897710609,676.275144570955,10792,7188.5,12363.5,35
"206","III","StepData.MaximumDailyTotalSteps",7650.6,4121.19276770347,1064.08739705507,5904,4925,9982.5,15
